
STR_GRU_1,GRU,GRU,GRU,ГРУ
STR_GRU_2,deliver the map,liefern Sie die Karte,entregar la tarjeta,доставить карту
STR_GRU_3,discontinued,beendet,eliminada,снята
STR_GRU_4,task,der Auftrag,tarea,задача
STR_GRU_5,"%1 %2 ""%3"" %4","%1 %2 ""%3"" %4","%1 %2 ""%3"" %4","%1 %2 ""%3"" %4"
STR_GRU_6,"New %2 %1 ""%3"" arrived","Neue %2 %1 ""%3"" angekommen","Nuevo %1 %2 - "" %3""","Поступила новая %1 %2 - ""%3"""
STR_GRU_7,"%1 %2 ""%3"" completed (by %4), scores +%5","%1 %2 ""%3"" abgeschlossen (von %4), scores +%5","%1%2 ""%3"" completado (%4), puntos + %5","%1 %2 ""%3"" выполнена (%4), очки +%5"
STR_GRU_8,"%1 %2 ""%3"" failed (by %4)","%1 %2 ""%3"" scheitern (von %4)","%1%2 ""%3"" falló (%4)","%1 %2 ""%3"" провалена (%4)"
STR_GRU_9,one of you,einer von Euch,uno de ustedes,одним из вас
STR_GRU_10,"the task %1 ""%2"" is started to fulfil by ""%3""","die Aufgabe, %1 ""%2"" begann erfüllen ""%3""","la tarea %1 ""%2 "" comenzó a ejecutarse ""%3""","задачу %1 ""%2"" начал выполнять ""%3"""
STR_GRU_11,"GRU has cancelled this task, go back to your regular military service","GRU beendete diese Aufgabe, zurück zur normalen Militärdienst","GRU canceló esta tarea, volver al Servicio de combate normal","ГРУ отменило эту задачу, возвращайтесь к обычной боевой службе"
STR_GRU_12,You died and the enemy will read the intelligence report trusted to You. You are penalized!,"Sie starben, und der Feind liest vertraute Sie разведдонесение. Sie werden bestraft!",Estás muerto y el enemigo leerá la información de inteligencia de confianza. ¡Es una multa!,Вы погибли и враг прочтёт доверенное Вам разведдонесение. За такое  - штраф!
STR_GRU_13,"You died, but did not allow information leakage. Islanders will not forget Your heroic deed!","Sie starb, aber nicht zulassen, dass Informationen Durchsickern. Die Insulaner nicht vergessen, Ihre Heldentat!","Usted murió, pero no permitió que se filtrara información. ¡Los sahrianos no olvidarán al héroe!","Вы погибли, но не допустили утечки информации. Сахранийцы не забудут героя!"
STR_GRU_14,You have lost a report! You have %1 seconds to find it!,"Sie verloren haben, einen Bericht! Sie haben nur %1 Sekunden, um es zu finden!",¡Ha perdido el informe! Tienes %1 seg. ¡para encontrarlo!,Вы потеряли донесение! У вас есть %1 сек. чтобы найти его!
STR_GRU_15,Find the secret message! %1 seconds before failure of current GRU task!,Finden gefallen geheime Nachricht! %1 Sekunden vor dem Versagen der aktuellen GRU Aufgabe!,¡Encuentra inteligencia! %1 seg. ¡hasta el fracaso de la misión GRU!,Найдите разведдонесение! %1 сек. до провала задания ГРУ!
STR_GRU_16,You shamefully lost secret report trusted to You by GRU! The GRU task failed!,"Sie schmählich verloren vertraut, um Sie geheim Bericht! Die GRU Aufgabe fehlgeschlagen!",¡Ha perdido infamemente la inteligencia de su confianza! ¡La misión de GRU fracasó!,Вы позорно потеряли доверенное Вам разведдонесение! Задание ГРУ провалено!
STR_GRU_17,Destroy the paper,Zerstören Sie das Dokument,Destruir el documento,Уничтожить документ
