//
// In rumors info string prepared for use in format statement:,,,
// %1 stands for random main target name,,,
// %2 stands for the location nearest to player, including landscapes feature (forest, marines, mountains etc)
// %3 stands for nearest settlement
//
STR_RUM_NUM,82,82,82,82
STR_RUM_NIGHT,They are sleeping in %3,Alle schlafen in %3,"En %3, todos duermen, sin embargo","В %3 все спят, однако"
STR_RUM_0,Rumors are absent! It's weird...,Gerüchte sind nicht vorhanden! Es ist seltsam...,¡No hay rumores! Lo cual es extraño...,Слухи отсутствуют! Что странно...
STR_RUM_1,Enemy refuel truck will help only if your vehicle engine is on,"Feind tanken LKW wird nur helfen, wenn Ihr Fahrzeug Motor ist auf",El camión cisterna enemigo repostará con el motor del equipo encendido,Вражеский бензовоз заправляет при включенном двигателе техники
STR_RUM_2,GRU can warn of enemy lair troopers in 5 minutes,"GRU kann Sie warnen, wenn einem der Kette der Evolution auf der Basis von 5 Minuten",GRU-shnik puede advertir sobre el aterrizaje en la base en minutos 5,ГРУшник может предупредить о десанте на базу за 5 минут
STR_RUM_3,They say alcohol will be delivered to the store near %2,"Sie sagen, dass der Alkohol wird eingeführt in der Nähe von %2",Llevan alcohol a una tienda cercana al %2,В магазин неподалёку от %2 завезут спирт
STR_RUM_4,Fogs on the main island are observed only from evening to morning,Nebel auf der Hauptinsel werden nur von Abend zu morgen beobachtet,Las nieblas en la isla principal solo se observan desde la tarde hasta la mañana,Туманы на главном острове наблюдаются только с вечера по утро
STR_RUM_5,Scout also warns counterattack,Späher auch warnt Konter,GRU-shnik podrá advertir sobre el contraataque,ГРУшник сможет предупредить о контратаке
STR_RUM_6,Someone saw the dogs in the interior of the island,Jemand sah die Hunde in das Innere der Insel,En algún lugar en el interior de la isla se encontraron con perros,Где-то в глубине острова встречали собак
STR_RUM_7,Hunters claim that at night someone gives signals from the forest above mountains,"Jäger behaupten, dass in der Nacht jemand tritt die Signale aus den Bergwäldern",Los cazadores afirman que por la noche alguien emite señales desde el bosque en las montañas,"Охотники утверждают, что по ночам кто-то подаёт сигналы из леса на горах"
